Isotope,Half Life,Unit,Computed Half Life
bismuth-184,6.6,seconds,0.0066
bismuth-184m,13.0,seconds,0.013000000000000001
bismuth-185,2.0,seconds,0.002
bismuth-185m,49.0,seconds,4.9e-05
bismuth-186,14.8,seconds,0.0148
bismuth-186m,9.8,seconds,0.009800000000000001
bismuth-187,32.0,seconds,0.032
bismuth-187m1,320.0,seconds,0.00031999999999999997
bismuth-187m2,7.0,seconds,7e-06
bismuth-188,44.0,seconds,0.044
bismuth-188m,220.0,seconds,0.22
bismuth-189,674.0,seconds,0.674
bismuth-189m1,5.0,seconds,0.005
bismuth-189m2,880.0,seconds,8.8e-07
bismuth-190,6.3,seconds,6.3
bismuth-190m1,6.2,seconds,6.2
bismuth-191,12.3,seconds,12.3
bismuth-191m,124.0,seconds,0.124
bismuth-192,34.6,seconds,34.6
bismuth-192m,39.6,seconds,39.6
bismuth-193,67.0,seconds,67.0
bismuth-193m,3.2,seconds,3.2
bismuth-194,95.0,seconds,95.0
bismuth-194m1,125.0,seconds,125.0
bismuth-194m2,115.0,seconds,115.0
bismuth-195,183.0,seconds,183.0
bismuth-195m1,87.0,seconds,87.0
bismuth-195m2,750.0,seconds,7.5e-07
bismuth-196,310.0,seconds,310.0
bismuth-196m1,600.0,seconds,0.6
bismuth-196m2,240.0,seconds,240.0
bismuth-197,560.0,seconds,560.0
bismuth-197m1,302.0,seconds,302.0
bismuth-197m2,204.0,seconds,2.04e-07
bismuth-197m3,263.0,seconds,2.63e-07
bismuth-197m4,253.0,seconds,2.53e-07
bismuth-197m5,209.0,seconds,2.09e-07
bismuth-198,620.0,seconds,620.0
bismuth-198m1,700.0,seconds,700.0
bismuth-198m2,7.7,seconds,7.7
bismuth-199m1,1.482,seconds,1482.0
bismuth-199m2,100.0,seconds,1.0000000000000001e-07
bismuth-199m3,168.0,seconds,1.6800000000000002e-07
bismuth-200m2,400.0,seconds,0.4
bismuth-201,6.5,seconds,6500.0
bismuth-201m2,118.0,seconds,1.1800000000000001e-07
bismuth-201m3,105.0,seconds,1.05e-07
bismuth-201m4,124.0,seconds,1.24e-07
bismuth-202,6.2,seconds,6200.0
bismuth-202m1,3.04,seconds,3.0399999999999997e-06
bismuth-202m2,310.0,seconds,3.1e-07
bismuth-203,42.3,seconds,42300.0
bismuth-203m1,303.0,seconds,0.303
bismuth-203m2,194.0,seconds,1.9400000000000002e-07
bismuth-204,40.4,seconds,40400.0
bismuth-204m1,13.0,seconds,0.013000000000000001
bismuth-204m2,1.07,seconds,0.00107
bismuth-205,1.323,seconds,1323000.0
bismuth-206,539.4,seconds,539400.0
bismuth-206m1,7.7,seconds,7.699999999999999e-06
bismuth-206m2,890.0,seconds,0.00089
bismuth-207,1.04,seconds,1040000000.0
bismuth-207m,182.0,seconds,0.00018199999999999998
bismuth-208,11.6,seconds,11600000000000.0
bismuth-208m,2.58,seconds,0.0025800000000000003
bismuth-209,630.0,seconds,6.3e+26
bismuth-210,433.0,seconds,433000.0
bismuth-210m,96.0,seconds,96000000000000.0
bismuth-211,128.0,seconds,128.0
bismuth-211m,1.4,seconds,1.4e-06
bismuth-212,3.633,seconds,3633.0
bismuth-212m1,1.5,seconds,1500.0
bismuth-212m2,420.0,seconds,420.0
bismuth-214,1.19,seconds,1190.0
bismuth-215,460.0,seconds,460.0
bismuth-215m,36.9,seconds,36.9
bismuth-216,130.0,seconds,130.0
bismuth-216m,400.0,seconds,400.0
bismuth-217,98.5,seconds,98.5
bismuth-217m,2.7,seconds,2.7e-06
bismuth-218,33.0,seconds,33.0
bismuth-219,8.7,seconds,8.7
bismuth-220,9.5,seconds,9.5
bohrium-260,35.0,seconds,0.035
bohrium-261,11.8,seconds,0.011800000000000001
bohrium-262,84.0,seconds,0.084
bohrium-262m,9.6,seconds,0.0096
bohrium-264,970.0,seconds,0.97
bohrium-265,900.0,seconds,0.9
bohrium-266,900.0,seconds,0.9
bohrium-267,17.0,seconds,17.0
bohrium-270,61.0,seconds,61.0
bohrium-271,1.2,seconds,1.2
bohrium-272,10.0,seconds,10.0
bohrium-274,40.0,seconds,40.0
boron-12,20.2,seconds,0.0202
boron-13,17.33,seconds,0.017329999999999998
boron-14,12.5,seconds,0.0125
boron-15,9.87,seconds,0.009869999999999999
boron-17,5.08,seconds,0.00508
boron-18,26.0,seconds,2.6e-08
boron-19,2.92,seconds,0.00292
boron-7,570.0,seconds,5.7e-22
boron-8,770.0,seconds,0.77
boron-9,845.0,seconds,8.449999999999999e-19
cadmium-109,40.0,seconds,40000000.0
cadmium-113,240.0,seconds,2.4e+23
cadmium-116,979.0,seconds,9.79e+26
caesium-112,500.0,seconds,0.0005
caesium-113,16.7,seconds,1.67e-05
caesium-134,65.17,seconds,65170000.0
caesium-135,73.0,seconds,73000000000000.0
caesium-137,952.0,seconds,952000000.0
calcium-41,3.3,seconds,3300000000000.0
calcium-45,14.06,seconds,14060000.0
calcium-47,391.9,seconds,391900.0
calcium-48,726.0,seconds,7.26e+26
californium-237,2.1,seconds,2.1
californium-238,21.1,seconds,0.0211
californium-239,60.0,seconds,60.0
californium-240,64.0,seconds,64.0
californium-241,227.0,seconds,227.0
californium-242,209.0,seconds,209.0
californium-243,640.0,seconds,640.0
californium-244,1.16,seconds,1160.0
californium-246,128.52,seconds,128520.00000000001
californium-247,11.2,seconds,11200.0
californium-248,28.81,seconds,28810000.0
californium-249,11.1,seconds,11100000000.0
californium-249m,45.0,seconds,4.4999999999999996e-05
californium-250,413.0,seconds,413000000.0
californium-251,28.0,seconds,28000000000.0
californium-252,83.5,seconds,83500000.0
californium-253,1.539,seconds,1539000.0
californium-254,5.23,seconds,5230000.0
californium-255,5.1,seconds,5100.0
californium-256,740.0,seconds,740.0
carbon-10,19.29,seconds,19.29
carbon-11,1.22,seconds,1220.0
carbon-14,181.0,seconds,181000000000.0
carbon-15,2.449,seconds,2.449
carbon-16,747.0,seconds,0.747
carbon-17,193.0,seconds,0.193
carbon-18,92.0,seconds,0.092
carbon-19,46.2,seconds,0.046200000000000005
carbon-20,16.0,seconds,0.016
carbon-21,30.0,seconds,3.0000000000000004e-08
carbon-22,6.2,seconds,0.006200000000000001
carbon-8,2.0,seconds,2e-21
carbon-9,126.5,seconds,0.1265
chlorine-36,9.5,seconds,9500000000000.0
chromium-51,2.3935,seconds,2393500.0
cobalt-56,6.676,seconds,6676000.0
cobalt-57,23.483,seconds,23483000.0
cobalt-60,166.35,seconds,166350000.0
